f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71
10,0.137299061,22.93772443,-451.310088,0.371215661,53.53723476,-445.2397058,56.64785854,8.052974184,382.9479472,-21.14107375,47.48292926,61.04375614,31.95564969,63.85020166,-0.064566529,13.33301671,-57.58203137,46.00619179,44.79086611,20.40322623,48.41184218,0.002181683,7.387999996,-79.03227419,40.37826271,37.90589443,14.84347115,38.77084368,0.669188139,67.02693787,-233.9940312,2.951525453,59.73933433,-244.1030841,81.40601897,0.230154624,63.24946124,-346.6313964,1.574042252,54.50346636,-409.5074933,65.75203643,0.165087758,38.39900017,-7.177105977,53.68332546,52.63633198,25.84917204,66.99945766,0.017765705,15.73529692,-486.2818163,-0.207974932,50.0319365,-495.7916502,49.44504437,0.677467355,133.1294004,-1180.51848,0.212896342,41.73786335,-1301.905203,59.18863779,0.457590396,37.13072001,-403.2654057,0.403775833,49.5626035,-473.8342,60.08338226
10,0.137299061,22.93772443,-451.310088,0.371215661,53.53723476,-445.2397058,56.64785854,8.052974184,382.9479472,-21.14107375,47.48292926,61.04375614,31.95564969,63.85020166,-0.064566529,13.33301671,-57.58203137,46.00619179,44.79086611,20.40322623,48.41184218,0.002181683,7.387999996,-79.03227419,40.37826271,37.90589443,14.84347115,38.77084368,0.669188139,67.02693787,-233.9940312,2.951525453,59.73933433,-244.1030841,81.40601897,0.230154624,63.24946124,-346.6313964,1.574042252,54.50346636,-409.5074933,65.75203643,0.165087758,38.39900017,-7.177105977,53.68332546,52.63633198,25.84917204,66.99945766,0.017765705,15.73529692,-486.2818163,-0.207974932,50.0319365,-495.7916502,49.44504437,0.677467355,133.1294004,-1180.51848,0.212896342,41.73786335,-1301.905203,59.18863779,0.457590396,37.13072001,-403.2654057,0.403775833,49.5626035,-473.8342,60.08338226
11,0.139909829,22.96037871,-512.6565204,-0.029428256,60.09420125,-467.6279085,56.2741612,7.917065224,384.2203868,-22.06131345,40.7655594,60.4811947,36.53268032,65.00477457,-0.058202736,13.32030004,-54.01185083,43.77963837,51.4946051,29.66079039,50.72209353,-0.022701407,7.394199991,-83.38710571,32.59686702,38.88840259,19.09743657,37.21083837,0.900684505,67.2088857,-203.0397688,3.064514941,68.0409178,-194.1127893,82.75243981,0.294190896,63.26214078,-357.2314498,1.26124804,53.06295549,-397.4031901,60.68628307,0.202229779,38.43766683,-34.05393368,46.9702949,59.94070392,44.56996113,60.58736757,0.013879976,15.73229294,-488.1138021,-0.757126821,55.90312372,-521.6636675,48.35007477,0.666103717,133.3321531,-1127.873498,0.116662211,50.27345984,-1186.528195,52.24232178,0.451877434,37.1972435,-413.1438477,-0.111327125,56.63145216,-409.0743879,55.50930614
12,0.150358872,22.99190629,-499.7357244,0.414286652,54.00788825,-500.2819248,60.75194823,7.919591455,385.7385722,-7.893224289,48.64057273,59.51477618,52.33581604,69.01704661,-0.046690357,13.31498337,-46.0958933,51.41857557,50.57376652,45.96642149,54.13743245,-0.044809816,7.397866646,-85.47011473,34.83747969,35.41136551,25.50786111,36.09368566,1.136501007,67.43771642,-195.3143165,3.213965094,61.18402048,-188.7302185,85.20150675,0.366576372,63.35813014,-348.4745395,1.59186246,61.01316531,-373.3839651,63.37591221,0.270506559,38.50266685,-5.945777642,53.92374006,57.39819147,64.85766576,67.10157285,0.008880191,15.72728608,-489.9454777,-0.428842376,51.62885002,-569.3971852,47.14560777,0.760065553,133.5790716,-1102.0564,0.407883407,43.7298419,-1096.30683,59.79184743,0.441632299,37.25134226,-413.41829,0.293105046,50.3173726,-361.3743684,55.37417145
13,0.170161636,23.02320315,-482.5092418,1.221377988,54.5198829,-522.5505002,66.09345807,8.442585161,387.5767436,-2.973080472,56.52205458,66.93092795,71.0409397,77.96197054,-0.007742535,13.31936671,-6.408156096,59.15126195,57.82125571,64.44542864,67.26306762,-0.046782931,7.405866655,-69.57264372,42.18271148,41.78096596,35.88407664,45.79515123,1.317731531,67.68040746,-194.1890172,3.191134232,68.48018398,-221.9192458,85.54644374,0.406326612,63.42307854,-352.8533073,0.930047563,60.04944943,-357.2700147,60.96928767,0.371173257,38.59366684,-0.420257636,62.33042452,62.93696321,78.83008518,73.27615736,-0.000529689,15.72202921,-495.4402721,-0.183982857,46.46379301,-624.8304424,43.40304785,0.946106584,133.8531626,-811.2965572,0.789668825,50.76274909,-1019.780862,66.49190926,0.440341685,37.32019526,-408.2050985,0.622473266,45.676549,-333.9336819,57.63470885
13,0.170161636,23.02320315,-482.5092418,1.221377988,54.5198829,-522.5505002,66.09345807,8.442585161,387.5767436,-2.973080472,56.52205458,66.93092795,71.0409397,77.96197054,-0.007742535,13.31936671,-6.408156096,59.15126195,57.82125571,64.44542864,67.26306762,-0.046782931,7.405866655,-69.57264372,42.18271148,41.78096596,35.88407664,45.79515123,1.317731531,67.68040746,-194.1890172,3.191134232,68.48018398,-221.9192458,85.54644374,0.406326612,63.42307854,-352.8533073,0.930047563,60.04944943,-357.2700147,60.96928767,0.371173257,38.59366684,-0.420257636,62.33042452,62.93696321,78.83008518,73.27615736,-0.000529689,15.72202921,-495.4402721,-0.183982857,46.46379301,-624.8304424,43.40304785,0.946106584,133.8531626,-811.2965572,0.789668825,50.76274909,-1019.780862,66.49190926,0.440341685,37.32019526,-408.2050985,0.622473266,45.676549,-333.9336819,57.63470885
14,0.197068054,23.06007029,-370.4757301,1.158081451,55.01633287,-501.6110359,70.69556706,9.438860657,389.8138143,-2.484710041,60.82937915,69.2162929,85.12526487,83.93810047,0.03275208,13.32515004,-5.202829978,61.00937194,64.60885622,78.94799299,70.53699371,-0.030724475,7.420066659,-51.28206069,43.35895429,47.87116099,48.57256408,54.8868344,1.48930838,67.9903005,-186.0765712,2.976524775,73.92388086,-273.6989116,87.17829821,0.538466624,63.53830922,-273.1512052,1.658428596,66.14153203,-338.1970336,71.3433475,0.525585362,38.70966682,-0.882428839,67.01182622,71.28370544,89.25477952,80.11247922,0.020860655,15.727036,-466.1324538,0.477968712,53.91829651,-658.3803668,61.97842332,1.152243597,134.1388697,-626.9334929,0.651344133,57.13326961,-915.5447596,69.89374186,0.458471261,37.39862569,-358.2624416,0.482470771,47.15736208,-335.7352642,62.17317109
15,0.198573306,23.09245866,-387.0587259,1.182450366,46.87886178,-451.999746,58.73722802,9.823587279,391.9577922,-19.05479567,61.7928989,62.57046648,89.81395558,74.14304605,0.056925888,13.33115005,-13.7947328,64.88598248,57.37026698,87.56902537,65.08584164,-0.00120032,7.436733325,-33.50426117,54.22081449,48.10437173,66.58416724,62.0293687,1.596082576,68.26413778,-183.2417068,2.055712825,72.62801278,-323.5093403,84.54125021,0.664114203,63.68992844,-251.2200173,2.868352863,71.80607408,-330.8257323,73.51604682,0.627012824,38.82100016,-13.04346474,70.40014676,71.62019634,92.66020548,76.28464706,0.067336594,15.74831495,-405.7719179,1.408969981,64.91399962,-637.3490455,72.73414199,1.398864316,134.4300537,-577.2879902,1.186716729,58.43184624,-785.9404615,74.08504966,0.500900562,37.48896205,-339.5222035,1.587924477,53.13036712,-362.0045994,67.70099718
16,0.200821997,23.1135334,-383.8699626,1.247948617,52.24461832,-396.9196314,60.22982771,10.06177005,393.4776449,-19.12755866,61.19711601,57.24666143,88.63639814,74.71824032,0.075575758,13.34076672,-13.36510124,65.54224297,51.28681056,89.40682423,65.24082872,0.030560188,7.451599995,-24.27350574,57.58786597,51.19726754,81.47171139,65.31900392,1.641444904,68.53531926,-185.4581897,1.941677316,67.14200066,-370.5839006,79.32932069,0.887525975,63.89329821,-177.013867,3.809488979,78.91635344,-293.4017842,81.2217965,0.716085402,38.9293335,-7.336968353,70.2706828,81.64634236,94.08737872,77.79677924,0.107774822,15.77785489,-365.8721452,1.601716219,76.68570107,-541.2789553,74.08743553,1.631370934,134.5533915,-527.4777356,1.165010681,65.32809954,-668.3195424,76.23125392,0.565602599,37.60285339,-287.8830629,1.954836588,54.05486554,-393.4700388,72.79762045
16,0.200821997,23.1135334,-383.8699626,1.247948617,52.24461832,-396.9196314,60.22982771,10.06177005,393.4776449,-19.12755866,61.19711601,57.24666143,88.63639814,74.71824032,0.075575758,13.34076672,-13.36510124,65.54224297,51.28681056,89.40682423,65.24082872,0.030560188,7.451599995,-24.27350574,57.58786597,51.19726754,81.47171139,65.31900392,1.641444904,68.53531926,-185.4581897,1.941677316,67.14200066,-370.5839006,79.32932069,0.887525975,63.89329821,-177.013867,3.809488979,78.91635344,-293.4017842,81.2217965,0.716085402,38.9293335,-7.336968353,70.2706828,81.64634236,94.08737872,77.79677924,0.107774822,15.77785489,-365.8721452,1.601716219,76.68570107,-541.2789553,74.08743553,1.631370934,134.5533915,-527.4777356,1.165010681,65.32809954,-668.3195424,76.23125392,0.565602599,37.60285339,-287.8830629,1.954836588,54.05486554,-393.4700388,72.79762045
